Programområdekode,Utdanningsprogram,Programområde,2022,2023,2024
Alle,Alle utdanningsprogram,Alle programområder,48400.0,48309.0,48476.0
BA,Bygg- og anleggsteknikk,Alle programområder,11469.0,11421.0,11106.0
BABAN3,Bygg- og anleggsteknikk,BABAN3 - Banemontørfaget,90.0,114.0,117.0
BABDR3,Bygg- og anleggsteknikk,BABDR3 - Byggdrifterfaget,118.0,133.0,150.0
BABET3,Bygg- og anleggsteknikk,BABET3 - Betongfaget,699.0,716.0,673.0
BABFB3,Bygg- og anleggsteknikk,BABFB3 - Brannforebygger,48.0,78.0,82.0
BABRO3,Bygg- og anleggsteknikk,BABRO3 - Brønn- og borefaget,9.0,22.0,24.0
BABYM3,Bygg- og anleggsteknikk,BABYM3 - Byggmontasjefaget,2.0,17.0,33.0
BAFEI3,Bygg- og anleggsteknikk,BAFEI3 - Feierfaget,31.0,11.0,
BAFJE3,Bygg- og anleggsteknikk,BAFJE3 - Fjell- og bergverksfaget,335.0,385.0,384.0
BAFMF3,Bygg- og anleggsteknikk,BAFMF3 - Fundamenteringsfaget,,,6.0
BAGLA3,Bygg- og anleggsteknikk,BAGLA3 - Glassfaget,39.0,39.0,43.0
BAIMF3,Bygg- og anleggsteknikk,BAIMF3 - Industrimalerfaget,39.0,62.0,62.0
BAISL3,Bygg- og anleggsteknikk,BAISL3 - Isolatørfaget,9.0,22.0,25.0
BAISO3,Bygg- og anleggsteknikk,BAISO3 - Isolatørfaget,14.0,10.0,4.0
BALIM3,Bygg- og anleggsteknikk,BALIM3 - Limtreproduksjonsfaget,1.0,,
BAMAL3,Bygg- og anleggsteknikk,BAMAL3 - Malerfaget,235.0,97.0,32.0
BAMFF3,Bygg- og anleggsteknikk,BAMFF3 - Murer- og flisleggerfaget,114.0,208.0,240.0
BAMOT3,Bygg- og anleggsteknikk,BAMOT3 - Maler- og overflateteknikkfaget,145.0,257.0,300.0
BAMUR3,Bygg- og anleggsteknikk,BAMUR3 - Murerfaget,171.0,57.0,12.0
BARHO3,Bygg- og anleggsteknikk,BARHO3 - Renholdsoperatørfaget,5.0,2.0,
BARLF3,Bygg- og anleggsteknikk,BARLF3 - Rørleggerfaget,2187.0,2200.0,2123.0
BAROF3,Bygg- og anleggsteknikk,BAROF3 - Renholdsoperatørfaget,6.0,10.0,16.0
BASBF3,Bygg- og anleggsteknikk,BASBF3 - Stillasbyggerfaget,3.0,50.0,77.0
BASNE3,Bygg- og anleggsteknikk,BASNE3 - Snekkerfaget,53.0,111.0,123.0
BASTE3,Bygg- og anleggsteknikk,BASTE3 - Steinfaget,4.0,4.0,7.0
BASTI3,Bygg- og anleggsteknikk,BASTI3 - Stillasbyggerfaget,54.0,13.0,6.0
BATAK3,Bygg- og anleggsteknikk,BATAK3 - Tak- og membrantekkerfaget,104.0,83.0,68.0
BATBY3,Bygg- og anleggsteknikk,BATBY3 - Trevare- og bygginnredningsfaget,95.0,34.0,15.0
BATLF3,Bygg- og anleggsteknikk,BATLF3 - Trelastfaget,18.0,7.0,3.0
BATLT3,Bygg- og anleggsteknikk,BATLT3 - Trelast- og limtreproduksjonsfaget,7.0,17.0,20.0
BATMF3,Bygg- og anleggsteknikk,BATMF3 - Tømrerfaget,4498.0,4216.0,3936.0
BAVBL3,Bygg- og anleggsteknikk,BAVBL3 - Ventilasjons- og blikkenslagerfaget,327.0,280.0,279.0
BAVOA3,Bygg- og anleggsteknikk,BAVOA3 - Vei- og anleggsfaget,338.0,302.0,296.0
BAVOV3,Bygg- og anleggsteknikk,BAVOV3 - Veidrift- og veivedlikeholdsfaget,26.0,41.0,59.0
BAAMF3,Bygg- og anleggsteknikk,BAAMF3 - Anleggsmaskinførerfaget,1341.0,1311.0,1314.0
